Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
89,tt14641788,2025-01-09,2025-01-09,,"Enola Holmes 2","Enola Holmes 2",https://www.imdb.com/title/tt14641788/,Movie,6.8,129,2022,"Action, Adventure, Crime, Drama, Mystery",107250,2022-11-04,"Harry Bradbeer",,
90,tt0397442,2025-01-09,2025-01-09,,"Gossip Girl","Gossip Girl",https://www.imdb.com/title/tt0397442/,TV Series,7.5,42,2007,"Drama, Romance",201927,2007-09-19,,,
91,tt3469046,2025-01-09,2025-01-09,,"Despicable Me 3","Despicable Me 3",https://www.imdb.com/title/tt3469046/,Movie,6.3,89,2017,"Animation, Adventure, Comedy, Crime, Family, Sci-Fi",164780,2017-06-30,"Kyle Balda, Pierre Coffin, Eric Guillon",,
92,tt13229894,2025-01-09,2025-01-09,,"God's Crooked Lines","Los renglones torcidos de Dios",https://www.imdb.com/title/tt13229894/,Movie,7.1,154,2022,"Drama, Mystery, Thriller",25286,2022-12-09,"Oriol Paulo",,
93,tt7280898,2025-01-09,2025-01-09,,"22 July","22 July",https://www.imdb.com/title/tt7280898/,Movie,6.8,143,2018,"Biography, Crime, Drama, History, Mystery, Thriller",38668,2018-10-10,"Paul Greengrass",,
94,tt16277242,2025-01-09,2025-01-09,,"Society of the Snow","La sociedad de la nieve",https://www.imdb.com/title/tt16277242/,Movie,7.8,144,2023,"Adventure, Biography, Drama, History, Thriller",154392,2024-01-04,"J.A. Bayona",,
95,tt13317454,2025-01-09,2025-01-09,,"Yakamoz S-245","Yakamoz S-245",https://www.imdb.com/title/tt13317454/,TV Series,6.2,45,2022,"Action, Adventure, Drama, Mystery, Sci-Fi, Thriller",8890,2022-04-20,,,
96,tt3032476,2025-01-09,2025-01-09,,"Better Call Saul","Better Call Saul",https://www.imdb.com/title/tt3032476/,TV Series,9.0,45,2015,"Crime, Drama",702208,2015-02-08,,,
97,tt22780536,2025-01-09,2025-01-09,,"A Nearly Normal Family","En helt vanlig familj",https://www.imdb.com/title/tt22780536/,TV Mini Series,6.9,46,2023,"Crime, Drama, Thriller",16194,2023-11-24,,,
98,tt13317582,2025-01-09,2025-01-09,,"The Club","Kulüp",https://www.imdb.com/title/tt13317582/,TV Series,7.8,45,2021,"Drama, History",12270,2021-11-05,,,
99,tt0884328,2025-01-09,2025-01-09,,"The Mist","The Mist",https://www.imdb.com/title/tt0884328/,Movie,7.1,126,2007,"Horror, Sci-Fi, Thriller",352840,2007-11-21,"Frank Darabont",,
100,tt9067020,2025-01-09,2025-01-09,,"The I-Land","The I-Land",https://www.imdb.com/title/tt9067020/,TV Mini Series,4.7,40,2019,"Adventure, Drama, Mystery, Sci-Fi",19983,2019-09-12,,,
101,tt26739535,2025-01-09,2025-01-09,,"MH370: The Plane That Disappeared","MH370: The Plane That Disappeared",https://www.imdb.com/title/tt26739535/,TV Mini Series,6.1,53,2023,"Documentary",14868,2023-03-08,,,
102,tt17553374,2025-01-09,2025-01-09,,"Creature","Yaratilan",https://www.imdb.com/title/tt17553374/,TV Mini Series,6.8,45,2023,"Drama, Fantasy, History, Sci-Fi",4530,2023-10-20,,,
103,tt15567174,2025-01-09,2025-01-09,,"The Fall of the House of Usher","The Fall of the House of Usher",https://www.imdb.com/title/tt15567174/,TV Mini Series,7.9,60,2023,"Drama, Horror, Mystery",121907,2023-10-12,,,
104,tt15789472,2025-01-09,2025-01-09,,"Nowhere","Nowhere",https://www.imdb.com/title/tt15789472/,Movie,6.3,109,2023,"Drama, Thriller",43088,2023-09-29,"Albert Pintó",,
105,tt21308888,2025-01-09,2025-01-09,,"Paradise","Paradise",https://www.imdb.com/title/tt21308888/,Movie,6.3,117,2023,"Action, Sci-Fi, Thriller",23253,2023-07-27,"Boris Kunz",,
106,tt23049270,2025-01-09,2025-01-09,,"Do Not Disturb","Do Not Disturb",https://www.imdb.com/title/tt23049270/,Movie,6.3,114,2023,"Comedy, Drama",10894,2023-09-29,"Cem Yilmaz",,
107,tt12881516,2025-01-09,2025-01-09,,"Black Island","Schwarze Insel",https://www.imdb.com/title/tt12881516/,TV Movie,5.2,104,2021,"Drama, Mystery, Thriller",3513,2021-08-18,"Miguel Alexandre",,
108,tt18075020,2025-01-09,2025-01-09,,"Who Is Erin Carter?","Who Is Erin Carter?",https://www.imdb.com/title/tt18075020/,TV Mini Series,6.5,48,2023,"Action, Adventure, Crime, Thriller",22292,2023-08-24,,,
109,tt2372162,2025-01-09,2025-01-09,,"Orange Is the New Black","Orange Is the New Black",https://www.imdb.com/title/tt2372162/,TV Series,8.0,60,2013,"Comedy, Crime, Drama",326119,2013-07-11,,,
110,tt15473010,2025-01-09,2025-01-09,,"The Tailor","Terzi",https://www.imdb.com/title/tt15473010/,TV Series,6.2,45,2023,"Drama, Mystery, Thriller",6396,2023-05-02,,,
111,tt11792734,2025-01-09,2025-01-09,,"Leyla Everlasting","9 Kere Leyla",https://www.imdb.com/title/tt11792734/,Movie,3.7,112,2020,"Comedy",8026,2020-12-04,"Ezel Akay",,
112,tt1630029,2025-01-09,2025-01-09,,"Avatar: The Way of Water","Avatar: The Way of Water",https://www.imdb.com/title/tt1630029/,Movie,7.5,192,2022,"Action, Adventure, Fantasy, Sci-Fi",521807,2022-12-16,"James Cameron",,
113,tt9018736,2025-01-09,2025-01-09,,"Avatar: The Last Airbender","Avatar: The Last Airbender",https://www.imdb.com/title/tt9018736/,TV Series,7.2,55,2024,"Action, Adventure, Comedy, Drama, Family, Fantasy, Mystery",77216,2024-02-22,,,
114,tt0417299,2025-01-09,2025-01-09,,"Avatar: The Last Airbender","Avatar: The Last Airbender",https://www.imdb.com/title/tt0417299/,TV Series,9.3,23,2005,"Animation, Action, Adventure, Family, Fantasy, Mystery",395073,2005-02-21,,,
115,tt7078180,2025-01-09,2025-01-09,,"Violet Evergarden","Violet Evergarden",https://www.imdb.com/title/tt7078180/,TV Series,8.4,24,2018,"Animation, Drama, Family, Fantasy, Romance, Sci-Fi",32770,2020-08-22,,,
116,tt8271176,2025-01-09,2025-01-09,,"Kung Fu Panda: The Paws of Destiny","Kung Fu Panda: The Paws of Destiny",https://www.imdb.com/title/tt8271176/,TV Series,7.2,24,2018,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy",1694,2018-11-16,,,
117,tt14169960,2025-01-09,2025-01-09,,"All of Us Are Dead","Jigeum uri hakgyoneun",https://www.imdb.com/title/tt14169960/,TV Series,7.5,60,2022,"Action, Drama, Fantasy, Horror, Sci-Fi, Thriller",73916,2022-01-28,,,
118,tt8824648,2025-01-09,2025-01-09,,"Girl From Nowhere","Girl from Nowhere",https://www.imdb.com/title/tt8824648/,TV Series,7.6,45,2018,"Crime, Drama, Fantasy, Horror, Mystery, Thriller",7405,2018-10-31,,,
119,tt13457822,2025-01-09,2025-01-09,,"Welcome to Eden","Bienvenidos a Edén",https://www.imdb.com/title/tt13457822/,TV Series,5.6,40,2022,"Action, Drama, Sci-Fi, Thriller",8238,2022-05-06,,,
120,tt8748256,2025-01-09,2025-01-09,,"Travel Mates 2","Yol Arkadasim 2",https://www.imdb.com/title/tt8748256/,Movie,5.8,116,2018,"Comedy",4044,2018-10-12,"Bedran Güzel",,
121,tt12451520,2025-01-09,2025-01-09,,"It's Okay to Not Be Okay","Saikojiman Gwaenchanha",https://www.imdb.com/title/tt12451520/,TV Series,8.6,80,2020,"Comedy, Drama, Romance",38773,2020-06-20,,,
122,tt14819828,2025-01-09,2025-01-09,,"Business Proposal","Sanae matseon",https://www.imdb.com/title/tt14819828/,TV Series,8.1,60,2022,"Comedy, Drama, Romance",29524,2022-03-01,,,
123,tt7134908,2025-01-09,2025-01-09,,"Elite","Élite",https://www.imdb.com/title/tt7134908/,TV Series,7.2,60,2018,"Crime, Drama, Thriller",95199,2018-10-05,,,
124,tt13273826,2025-01-09,2025-01-09,,"The Uncanny Counter","Gyeongiroun Somun",https://www.imdb.com/title/tt13273826/,TV Series,8.0,65,2020,"Action, Fantasy, Horror, Mystery, Thriller",12729,2020-11-28,,,
125,tt0075314,2025-01-09,2025-01-09,,"Taxi Driver","Taxi Driver",https://www.imdb.com/title/tt0075314/,Movie,8.2,114,1976,"Crime, Drama",959644,1976-02-09,"Martin Scorsese",,
126,tt1130884,2025-01-09,2025-01-09,,"Shutter Island","Shutter Island",https://www.imdb.com/title/tt1130884/,Movie,8.2,138,2010,"Drama, Mystery, Thriller",1517621,2010-02-19,"Martin Scorsese",,
127,tt0914798,2025-01-09,2025-01-09,,"The Boy in the Striped Pajamas","The Boy in the Striped Pajamas",https://www.imdb.com/title/tt0914798/,Movie,7.7,94,2008,"Drama, War",256460,2008-11-26,"Mark Herman",,
128,tt13400006,2025-01-09,2025-01-09,,"Mr. Queen","Cheolinwanghoo",https://www.imdb.com/title/tt13400006/,TV Series,8.6,70,2020,"Comedy, Fantasy, Romance",12249,2022-02-15,,,
129,tt7335184,2025-01-09,2025-01-09,,"You","You",https://www.imdb.com/title/tt7335184/,TV Series,7.7,45,2018,"Crime, Drama, Romance, Thriller",317593,2018-09-09,,,
130,tt11213372,2025-01-09,2025-01-09,,"Stuck Apart","Azizler",https://www.imdb.com/title/tt11213372/,Movie,6.0,96,2021,"Comedy, Drama",11545,2021-01-08,"Durul Taylan, Yagmur Taylan",,
131,tt13443470,2025-01-09,2025-01-09,,"Wednesday","Wednesday",https://www.imdb.com/title/tt13443470/,TV Series,8.1,45,2022,"Comedy, Crime, Fantasy, Mystery",398069,2022-11-23,,,
132,tt3478046,2025-01-09,2025-01-09,,"Eyyvah Eyvah 3","Eyyvah Eyvah 3",https://www.imdb.com/title/tt3478046/,Movie,5.9,105,2014,"Comedy",8255,2014-01-31,"Hakan Algül",,
133,tt2861424,2025-01-09,2025-01-09,,"Rick and Morty","Rick and Morty",https://www.imdb.com/title/tt2861424/,TV Series,9.1,23,2013,"Animation, Adventure, Comedy, Sci-Fi",633707,2013-12-02,,,
134,tt6763664,2025-01-09,2025-01-09,,"The Haunting of Hill House","The Haunting of Hill House",https://www.imdb.com/title/tt6763664/,TV Mini Series,8.5,60,2018,"Drama, Horror, Mystery, Thriller",303845,2018-10-12,,,
135,tt5421602,2025-01-09,2025-01-09,,"Anne with an E","Anne with an E",https://www.imdb.com/title/tt5421602/,TV Series,8.6,60,2017,"Drama, Family",71619,2017-05-12,,,
136,tt4574334,2025-01-09,2025-01-09,,"Stranger Things","Stranger Things",https://www.imdb.com/title/tt4574334/,TV Series,8.7,60,2016,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",1407921,2016-07-15,,,
137,tt10813940,2025-01-09,2025-01-09,,"Ginny & Georgia","Ginny & Georgia",https://www.imdb.com/title/tt10813940/,TV Series,7.5,,2021,"Comedy, Drama",87978,2021-02-24,,,
138,tt16913068,2025-01-09,2025-01-09,,"Shahmaran","Sahmaran",https://www.imdb.com/title/tt16913068/,TV Series,5.4,60,2023,"Adventure, Drama, Fantasy, Mystery, Romance, Thriller",19818,2023-01-20,,,
139,tt4332232,2025-01-09,2025-01-09,,"Fractured","Fractured",https://www.imdb.com/title/tt4332232/,Movie,6.5,99,2019,"Drama, Mystery, Thriller",100113,2019-10-11,"Brad Anderson",,
140,tt0330373,2025-01-09,2025-01-09,,"Harry Potter and the Goblet of Fire","Harry Potter and the Goblet of Fire",https://www.imdb.com/title/tt0330373/,Movie,7.7,157,2005,"Adventure, Family, Fantasy, Mystery",705744,2005-11-18,"Mike Newell",,
141,tt8946378,2025-01-09,2025-01-09,,"Knives Out","Knives Out",https://www.imdb.com/title/tt8946378/,Movie,7.9,130,2019,"Comedy, Crime, Drama, Mystery, Thriller",803287,2019-11-27,"Rian Johnson",,
142,tt4524056,2025-01-09,2025-01-09,,"Vis a vis","Vis a vis",https://www.imdb.com/title/tt4524056/,TV Series,8.1,53,2015,"Drama, Thriller",27185,2019-05-31,,,
143,tt11126994,2025-01-09,2025-01-09,,"Arcane","Arcane",https://www.imdb.com/title/tt11126994/,TV Series,9.0,40,2021,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",365015,2021-11-06,,,
144,tt13029044,2025-01-09,2025-01-09,,"Mother/Android","Mother/Android",https://www.imdb.com/title/tt13029044/,Movie,4.9,110,2021,"Drama, Sci-Fi, Thriller",21755,2021-12-17,"Mattson Tomlin",,
145,tt11286314,2025-01-09,2025-01-09,,"Don't Look Up","Don't Look Up",https://www.imdb.com/title/tt11286314/,Movie,7.2,138,2021,"Comedy, Drama, Sci-Fi",627834,2021-12-24,"Adam McKay",,
146,tt11823088,2025-01-09,2025-01-09,,"100 Humans: Life's Questions. Answered.","100 Humans",https://www.imdb.com/title/tt11823088/,TV Series,5.8,,2020,"Reality-TV",4692,2020-03-13,,,
147,tt1442437,2025-01-09,2025-01-09,,"Modern Family","Modern Family",https://www.imdb.com/title/tt1442437/,TV Series,8.5,22,2009,"Comedy, Drama, Romance",505706,2009-09-23,,,
148,tt2085059,2025-01-09,2025-01-09,,"Black Mirror","Black Mirror",https://www.imdb.com/title/tt2085059/,TV Series,8.7,60,2011,"Crime, Drama, Mystery, Sci-Fi, Thriller",666943,2011-12-04,,,
149,tt10516352,2025-01-09,2025-01-09,,"Love 101","Ask 101",https://www.imdb.com/title/tt10516352/,TV Series,7.4,40,2020,"Comedy, Drama, Romance",18058,2020-04-24,,,
150,tt4158110,2025-01-09,2025-01-09,,"Mr. Robot","Mr. Robot",https://www.imdb.com/title/tt4158110/,TV Series,8.5,45,2015,"Crime, Drama, Thriller",433315,2015-06-24,,,
151,tt0455275,2025-01-09,2025-01-09,,"Prison Break","Prison Break",https://www.imdb.com/title/tt0455275/,TV Series,8.3,44,2005,"Action, Crime, Drama, Mystery, Thriller",611337,2005-08-29,,,
152,tt10834220,2025-01-09,2025-01-09,,"The Chestnut Man","Kastanjemanden",https://www.imdb.com/title/tt10834220/,TV Series,7.7,50,2021,"Crime, Drama, Mystery, Thriller",57591,2021-09-29,,,
153,tt6468322,2025-01-09,2025-01-09,,"Money Heist","La casa de papel",https://www.imdb.com/title/tt6468322/,TV Series,8.2,60,2017,"Action, Crime, Drama, Mystery, Thriller",557945,2017-05-02,,,
154,tt0241527,2025-01-09,2025-01-09,,"Harry Potter and the Sorcerer's Stone","Harry Potter and the Sorcerer's Stone",https://www.imdb.com/title/tt0241527/,Movie,7.7,152,2001,"Adventure, Family, Fantasy",889698,2001-11-16,"Chris Columbus",,
155,tt0304141,2025-01-09,2025-01-09,,"Harry Potter and the Prisoner of Azkaban","Harry Potter and the Prisoner of Azkaban",https://www.imdb.com/title/tt0304141/,Movie,7.9,142,2004,"Adventure, Family, Fantasy, Mystery",717316,2004-06-04,"Alfonso Cuarón",,
156,tt8442644,2025-01-09,2025-01-09,,"Money Trap","Organize Isler: Sazan Sarmali",https://www.imdb.com/title/tt8442644/,Movie,6.0,121,2019,"Comedy, Crime",16660,2019-02-01,"Yilmaz Erdogan",,
157,tt12809988,2025-01-09,2025-01-09,,"Sweet Tooth","Sweet Tooth",https://www.imdb.com/title/tt12809988/,TV Series,7.7,50,2021,"Action, Adventure, Drama, Fantasy, Sci-Fi",74797,2021-06-04,,,
158,tt10147644,2025-01-09,2025-01-09,,"The Innocent","El inocente",https://www.imdb.com/title/tt10147644/,TV Mini Series,7.8,58,2021,"Crime, Drama, Mystery, Thriller",39546,2021-04-30,,,
159,tt11961378,2025-01-09,2025-01-09,,"Fatma","Fatma",https://www.imdb.com/title/tt11961378/,TV Series,7.4,40,2021,"Crime, Drama, Thriller",9879,2021-04-27,,,
160,tt0377092,2025-01-09,2025-01-09,,"Mean Girls","Mean Girls",https://www.imdb.com/title/tt0377092/,Movie,7.1,97,2004,"Comedy",453849,2004-04-30,"Mark Waters",,
161,tt7653254,2025-01-09,2025-01-09,,"Marriage Story","Marriage Story",https://www.imdb.com/title/tt7653254/,Movie,7.9,137,2019,"Drama, Romance",356549,2019-12-06,"Noah Baumbach",,
162,tt1475582,2025-01-09,2025-01-09,,"Sherlock","Sherlock",https://www.imdb.com/title/tt1475582/,TV Series,9.1,90,2010,"Crime, Drama, Mystery, Thriller",1031876,2010-10-24,,,
163,tt0054135,2025-01-09,2025-01-09,,"Ocean's Eleven","Ocean's Eleven",https://www.imdb.com/title/tt0054135/,Movie,6.5,127,1960,"Comedy, Crime, Music, Thriller",25917,1960-08-04,"Lewis Milestone",,
164,tt11301642,2025-01-09,2025-01-09,,"Ethos","Bir Baskadir",https://www.imdb.com/title/tt11301642/,TV Series,8.5,45,2020,"Drama, Thriller",30382,2020-11-12,,,
165,tt2661044,2025-01-09,2025-01-09,,"The 100","The 100",https://www.imdb.com/title/tt2661044/,TV Series,7.5,43,2014,"Action, Drama, Sci-Fi",286522,2014-03-19,,,
166,tt10420532,2025-01-09,2025-01-09,,"Ask Tesadüfleri Sever 2","Ask Tesadüfleri Sever 2",https://www.imdb.com/title/tt10420532/,Movie,7.1,124,2020,"Drama, Romance",3368,2020-01-31,"Ipek Sorak, Ömer Faruk Sorak",,
167,tt5753856,2025-01-09,2025-01-09,,"Dark","Dark",https://www.imdb.com/title/tt5753856/,TV Series,8.7,60,2017,"Crime, Drama, Mystery, Sci-Fi, Thriller",474557,2017-12-01,,,
168,tt0903747,2025-01-09,2025-01-09,,"Breaking Bad","Breaking Bad",https://www.imdb.com/title/tt0903747/,TV Series,9.5,45,2008,"Crime, Drama, Thriller",2262411,2008-01-20,,,
169,tt2084970,2025-01-09,2025-01-09,,"The Imitation Game","The Imitation Game",https://www.imdb.com/title/tt2084970/,Movie,8.0,114,2014,"Biography, Drama, Thriller, War",843778,2014-12-25,"Morten Tyldum",,
170,tt9815454,2025-01-09,2025-01-09,,"Unorthodox","Unorthodox",https://www.imdb.com/title/tt9815454/,TV Mini Series,8.0,53,2020,"Drama",94988,2020-03-26,,,
171,tt4786824,2025-01-09,2025-01-09,,"The Crown","The Crown",https://www.imdb.com/title/tt4786824/,TV Series,8.6,60,2016,"Biography, Drama, History",266238,2016-11-04,,,
172,tt8667956,2025-01-09,2025-01-09,,"Freud","Freud",https://www.imdb.com/title/tt8667956/,TV Series,6.5,55,2020,"Crime, Thriller",13574,2020-03-23,,,
173,tt3007572,2025-01-09,2025-01-09,,"Locke & Key","Locke & Key",https://www.imdb.com/title/tt3007572/,TV Series,7.3,48,2020,"Drama, Fantasy, Horror, Mystery, Thriller",101299,2020-02-07,,,
174,tt5180504,2025-01-09,2025-01-09,,"The Witcher","The Witcher",https://www.imdb.com/title/tt5180504/,TV Series,8.0,60,2019,"Action, Adventure, Drama, Fantasy, Mystery",587968,2019-12-20,,,
175,tt5420376,2025-01-09,2025-01-09,,"Riverdale","Riverdale",https://www.imdb.com/title/tt5420376/,TV Series,6.5,45,2017,"Crime, Drama, Mystery, Romance",158796,2017-01-26,,,
